k,seed,construction,method,worst_case,reduced_cost,cost_ratio,cost_diff,regret,lol_reduced,lol_full,relative_wc_weight,percentage,avg_weight_normal,avg_weight_wc,max_weight_normal,max_weight_wc,avg_local_wc_dist,inv_cost_reduced,fixed_inv_cost_reduced,inv_cost_ref,fixed_inv_cost_ref,inv_ccgt,inv_solar,inv_ocgt,inv_wind,inv_wind_offshore,inv_battery,inv_electrolizer,clustering_time
20,1,2,kmedoids_dirac_no_wc_2,no_wc,975.4384869048295,1.8542367825212702,449.3791960420456,85.42367825212702,88,3,0.0,0.0,54.75,0.0,128.0,0.0,0.0,310.41214167703424,62.28748602263123,323.87764369362117,64.70319207412541,0.8726422778200034,2.2160346880758053,0.0,3.4274182299384117,0.0,1.4697898758036887,1.1050620674098333,0.1551605
20,2,2,kmedoids_dirac_no_wc_2,no_wc,743.5443235918984,1.4134230428140901,217.48503272911455,41.34230428140901,175,3,0.0,0.0,54.75,0.0,155.0,0.0,0.0,326.39346024520984,64.15316349104062,323.87764369362117,64.70319207412541,0.8178057946576065,2.5890218321275995,0.0,3.603363359056638,0.0,0.7600000000000001,1.2569958757147621,1.4536778
20,3,2,kmedoids_dirac_no_wc_2,no_wc,2319.9982253184535,4.410145901070297,1793.9389344556696,341.0145901070297,276,3,0.0,0.0,54.75,0.0,132.0,0.0,0.0,313.92631613517074,62.468607584510536,323.87764369362117,64.70319207412541,0.7837865109986845,2.35860473759111,0.0,3.5832225040352848,0.0,1.2468171915035953,1.133088952762718,0.3055883
30,1,2,kmedoids_dirac_no_wc_2,no_wc,646.5459588352488,1.2290362893788191,120.48666797246494,22.903628937881912,27,3,0.0,0.0,36.5,0.0,92.0,0.0,0.0,332.9032346162703,68.2430482716725,323.87764369362117,64.70319207412541,0.950286520529692,2.085612324764336,0.0,3.9270584397406383,0.0,1.7221272633307083,1.0250956173503378,0.2655608
30,2,2,kmedoids_dirac_no_wc_2,no_wc,940.6837809689916,1.7881706440849792,414.62449010620776,78.81706440849791,141,3,0.0,0.0,36.5,0.0,133.0,0.0,0.0,315.44735099382865,61.56968082410265,323.87764369362117,64.70319207412541,0.8579846608923627,2.608264175753866,0.0,3.2741119721504197,0.0,0.7600000000000001,1.1604939254418405,0.209528
30,3,2,kmedoids_dirac_no_wc_2,no_wc,884.8433997394794,1.6820221885792717,358.78410887669554,68.20221885792718,103,3,0.0,0.0,36.5,0.0,97.0,0.0,0.0,303.46914342229616,58.21427424691757,323.87764369362117,64.70319207412541,0.8980177251078372,2.7704799466308883,0.0,2.754976745497706,0.0,1.454083126159999,1.138143199143728,0.1835854
40,1,2,kmedoids_dirac_no_wc_2,no_wc,697.4136262875876,1.3257319819288191,171.3543354248037,32.57319819288191,27,3,0.0,0.0,27.375,0.0,96.0,0.0,0.0,340.00210857569573,67.84937687105976,323.87764369362117,64.70319207412541,0.8867851356260853,2.4242981717706966,0.5194387803851345,3.8312623977680618,0.0,1.7981906872656623,1.0194873090725856,0.3543465
40,2,2,kmedoids_dirac_no_wc_2,no_wc,1838.0950071736866,3.494083345926745,1312.0357163109027,249.4083345926745,209,3,0.0,0.0,27.375,0.0,79.0,0.0,0.0,322.1928084541395,64.0173552851102,323.87764369362117,64.70319207412541,0.7992348737373003,2.449979457276945,0.0,3.6775210581140514,0.0,1.251686190499537,1.130089672066718,0.2982304
40,3,2,kmedoids_dirac_no_wc_2,no_wc,707.2741984066936,1.3444762039022278,181.2149075439097,34.44762039022278,51,3,0.0,0.0,27.375,0.0,80.0,0.0,0.0,319.7704211450211,62.91629629116415,323.87764369362117,64.70319207412541,0.9083810538173126,2.5218976977695666,0.24798047915122828,3.288165297261972,0.0,1.562744282151412,1.0488089996365781,1.5150526
50,1,2,kmedoids_dirac_no_wc_2,no_wc,679.977759427138,1.2925876821069242,153.91846856435416,29.258768210692416,26,3,0.0,0.0,21.9,0.0,75.0,0.0,0.0,328.433737468226,65.64215501404968,323.87764369362117,64.70319207412541,0.9181110902567176,2.3328867295672566,0.4065836976163898,3.5895712032824294,0.0,1.7756707438242296,1.0186687138596298,0.3523128
