k,method,construction,worst_case,percentage,regret,regret_std,cost_ratio,cost_ratio_std,cost_diff,cost_diff_std,lol_reduced,lol_reduced_std,relative_wc_weight,relative_wc_weight_std,avg_weight_normal,avg_weight_normal_std,avg_weight_wc,avg_weight_wc_std,max_weight_normal,max_weight_normal_std,max_weight_wc,max_weight_wc_std,avg_local_wc_dist,avg_local_wc_dist_std,inv_cost_reduced,inv_cost_reduced_std,fixed_inv_cost_reduced,fixed_inv_cost_reduced_std,inv_cost_ref,fixed_inv_cost_ref,inv_ccgt,inv_solar,inv_ocgt,inv_wind,inv_wind_offshore,inv_battery,inv_electrolizer
30,kmedoids_dirac_global_fixed_wc_p0.01_2,2,global_fixed_wc,0.0001,10.11629010485482,5.515092476149648,1.1011629010485482,0.05515092476149655,53.35808087016733,29.089196464188134,55.666666666666664,20.502032419575706,0.0,0.0,12.58494827586207,0.0,0.036500000000000005,0.0,36.55189999999999,3.5638691179671556,0.036500000000000005,0.0,0.0,0.0,321.5935453200879,18.435072813619243,61.40237501126139,2.4039320382167295,324.26144987757283,64.67856102926612,0.948962869544002,2.544996488154869,0.5941945348784153,2.996354389438494,0.0765859838909612,1.2453191144033633,1.020496142929976
30,kmedoids_dirac_global_fixed_wc_p0.1_2,2,global_fixed_wc,0.001,5.710811438536655,6.105723710953774,1.0571081143853664,0.061057237109537754,30.121510495777596,32.204463905559884,21.333333333333332,18.44812546936228,0.0,0.0,12.573620689655172,0.0,0.365,0.0,36.519000000000005,3.560661314980689,0.365,0.0,0.0,0.0,301.97703721652107,28.114487203270865,54.95416361197048,6.2660814155118265,324.26144987757283,64.67856102926612,1.039168880871575,3.0401252144350654,1.2917079113603291,1.9565806292214436,0.0,0.8149807129466332,1.0090699372092142
30,kmedoids_dirac_global_fixed_wc_p1.0_2,2,global_fixed_wc,0.01,5.920503237072442,0.1355082625168178,1.0592050323707245,0.0013550826251681797,31.227523849300724,0.7147344288276515,0.0,0.0,0.0,0.0,12.460344827586207,0.0,3.65,0.0,36.19,3.5285832851159995,3.65,0.0,0.0,0.0,320.36951374666,16.50028480739825,56.2484289980963,3.872125685968446,324.26144987757283,64.67856102926612,1.0727346011104564,3.0442599973545548,3.654596776161848,1.734810780920052,0.0,0.9207336329543306,1.0095147710894057
30,kmedoids_dirac_global_fixed_wc_p5.0_2,2,global_fixed_wc,0.05,8.56166711236076,0.14715400436392567,1.0856166711236077,0.0014715400436393386,45.1582666599846,0.7761595588733864,0.0,0.0,0.0,0.0,11.956896551724137,0.0,18.25,0.0,34.72777777777778,3.386014263495147,18.25,0.0,0.0,0.0,279.4678179086753,9.1703653864132,46.50241019608405,2.3023948234742653,324.26144987757283,64.67856102926612,1.379729772975466,3.440671177104805,2.1396514753963896,0.15124963494542584,0.0,0.5428571428571429,1.1003837761960216
30,kmedoids_dirac_global_fixed_wc_p20.0_2,2,global_fixed_wc,0.2,9.758509598527205,0.00871471385398543,1.097585095985272,8.714713853989867e-5,51.47097789145414,0.04596550729186485,0.0,0.0,0.0,0.0,10.06896551724138,1.2560739669470201e-15,73.0,0.0,29.24444444444445,2.8513804324169683,73.0,0.0,0.0,0.0,272.48163941780666,0.6726676921012128,47.60007263204856,0.08798144771437162,324.26144987757283,64.67856102926612,1.6247693724190804,3.2214669140033663,0.5758024111917716,0.0,0.0,0.6159425110944025,1.1855138581050804
40,kmedoids_dirac_global_fixed_wc_p0.01_2,2,global_fixed_wc,0.0001,31.246580002217296,27.09411295722107,1.312465800022173,0.2709411295722108,164.80918650942453,142.90711864649495,95.66666666666667,79.03374806583156,0.0,0.0,9.358038461538463,1.7763568394002505e-15,0.036500000000000005,0.0,30.996899999999997,6.332699999999992,0.036500000000000005,0.0,0.0,0.0,328.7344015004156,11.89276229628655,64.62911590461601,1.2309681440301383,324.26144987757283,64.67856102926612,0.9267260074824325,2.4029961706191183,0.6083068286389905,3.4419502285060926,0.02185964793860592,1.227232714138597,1.0287784209462876
40,kmedoids_dirac_global_fixed_wc_p0.1_2,2,global_fixed_wc,0.001,7.393082801020076,5.117425864849631,1.073930828010201,0.0511742586484963,38.99460235796922,26.99171537327629,14.666666666666666,11.930353445448855,0.0,0.0,9.349615384615383,1.7763568394002505e-15,0.365,0.0,30.968999999999994,6.327000000000007,0.365,0.0,0.0,0.0,314.22403518009713,13.086221839019771,58.3980290751721,2.3993388129175424,324.26144987757283,64.67856102926612,1.0033874515211016,2.8601159860413254,1.4608363482251203,2.4319513223453852,0.0,0.7232589493848641,1.0054381205639162
40,kmedoids_dirac_global_fixed_wc_p1.0_2,2,global_fixed_wc,0.01,5.712626458718437,0.058525026615997906,1.0571262645871844,0.0005852502661599997,30.131083767464816,0.30868856771974984,0.0,0.0,0.0,0.0,9.265384615384615,0.0,3.65,0.0,30.689999999999994,6.270000000000009,3.65,0.0,0.0,0.0,336.9319232025391,4.158189918654678,60.59608933016509,1.2579470693964927,324.26144987757283,64.67856102926612,1.0244326142721516,2.845510561770403,3.9936887574898683,2.308009743531727,0.0,0.9225887555152177,1.0098979947001019
40,kmedoids_dirac_global_fixed_wc_p5.0_2,2,global_fixed_wc,0.05,8.268943960273273,0.0912292257842931,1.082689439602733,0.0009122922578429109,43.614306822953154,0.48118592455004644,0.0,0.0,0.0,0.0,8.89102564102564,1.7763568394002505e-15,18.25,0.0,29.45,6.016666666666675,18.25,0.0,0.0,0.0,296.359439755589,6.476384241991711,50.9205546400158,1.620351578178031,324.26144987757283,64.67856102926612,1.3620367719042745,3.307758329835623,2.2486503787964756,0.6725354076261713,0.0,0.5428571428571429,1.1017609455249653
40,kmedoids_dirac_global_fixed_wc_p20.0_2,2,global_fixed_wc,0.2,9.825613102237526,0.022499477634623608,1.0982561310223753,0.00022499477634628425,51.824913389599715,0.11867284693512675,0.0,0.0,0.0,0.0,7.487179487179488,0.0,73.0,0.0,24.8,5.066666666666667,73.0,0.0,0.0,0.0,269.12864600824736,1.1166635899425537,47.25248345162854,0.15189453921063842,324.26144987757283,64.67856102926612,1.6261349577093618,3.114088649603269,0.6091278130862041,0.0,0.0,0.6296774362398087,1.1661739733207013
50,kmedoids_dirac_global_fixed_wc_p0.01_2,2,global_fixed_wc,0.0001,10.272237202557154,17.149132101224968,1.1027223720255714,0.1714913210122497,54.18061934666631,90.45260347676401,46.0,55.569775957799216,0.0,0.0,7.448234693877552,8.881784197001252e-16,0.036500000000000005,0.0,24.664199999999997,3.785560303310458,0.036500000000000005,0.0,0.0,0.0,332.84058160108543,6.576081003272221,66.05681625452273,0.5028343320062364,324.26144987757283,64.67856102926612,0.956370163203669,2.2395418077558564,0.8164067837538443,3.5935033321569594,0.01476567536184907,0.8040684805107196,1.014038628417773
50,kmedoids_dirac_global_fixed_wc_p0.1_2,2,global_fixed_wc,0.001,2.0125547992824875,0.7626402036025344,1.0201255479928248,0.007626402036025285,10.615162339425561,4.022523794482355,3.0,3.4641016151377544,0.0,0.0,7.441530612244897,8.881784197001252e-16,0.365,0.0,24.641999999999996,3.782152958302988,0.365,0.0,0.0,0.0,325.3389633328618,7.990545401314224,61.1610098029962,2.0289807346597675,324.26144987757283,64.67856102926612,1.0026120900033018,2.701916140678575,1.904540066253192,2.7118728307941073,0.0,0.8577595223104147,1.0045893979641847
50,kmedoids_dirac_global_fixed_wc_p1.0_2,2,global_fixed_wc,0.01,5.6354342830082125,0.05395359140234231,1.0563543428300821,0.0005395359140234785,29.723935859348405,0.28457666431497375,0.0,0.0,0.0,0.0,7.374489795918368,8.881784197001252e-16,3.65,0.0,24.41999999999999,3.748079508228184,3.65,0.0,0.0,0.0,337.79720410984095,3.1286319081186735,61.37768439299209,0.9325639175316947,324.26144987757283,64.67856102926612,1.0382506900902846,2.74552042783033,3.8723772223369886,2.4095101352074457,0.0,0.9217237807886726,1.0101193621129376
50,kmedoids_dirac_global_fixed_wc_p5.0_2,2,global_fixed_wc,0.05,8.128199548995125,0.09621190038964299,1.0812819954899513,0.0009621190038964794,42.87195447825324,0.5074668982851156,0.0,0.0,0.0,0.0,7.076530612244898,8.881784197001252e-16,18.25,0.0,23.433333333333334,3.5966419523401756,18.25,0.0,0.0,0.0,306.3339774050184,6.396315359999982,53.680582284216406,1.680055412899067,324.26144987757283,64.67856102926612,1.3655374687397117,3.2229730731091926,2.2263129785200317,0.9845882720383502,0.0,0.5428571428571429,1.0824101171829843
50,kmedoids_dirac_global_fixed_wc_p20.0_2,2,global_fixed_wc,0.2,9.812402462763494,0.04286535623285663,1.0981240246276351,0.0004286535623285837,51.755234252080335,0.22609208718754234,0.0,0.0,0.0,0.0,5.959183673469387,1.88411095042053e-15,73.0,0.0,19.733333333333334,3.0287511177601467,73.0,0.0,0.0,0.0,269.87470067552425,2.1237208599762014,47.34357454009677,0.24838024787996,324.26144987757283,64.67856102926612,1.6271668731360938,3.1377806655824774,0.5911091198861033,0.0,0.0,0.6266469526700088,1.1704411391377993
60,kmedoids_dirac_global_fixed_wc_p0.01_2,2,global_fixed_wc,0.0001,3.4685157327219147,0.48144238214191687,1.034685157327219,0.004814423821419174,18.29458635999443,2.539353981982615,16.0,3.4641016151377544,0.0,0.0,6.185822033898305,1.4043333874306805e-15,0.036500000000000005,0.0,21.9978,0.5772925341627059,0.036500000000000005,0.0,0.0,0.0,330.2645975283543,11.356293225871454,62.97996377788882,1.7113070919629312,324.26144987757283,64.67856102926612,0.9625695780259148,2.3305366058345727,1.058591414116621,3.1581400465592524,0.11807433595157042,0.9127880365566234,1.006409068567091
60,kmedoids_dirac_global_fixed_wc_p0.1_2,2,global_fixed_wc,0.001,1.5349403515078972,0.2535519382938023,1.015349403515079,0.002535519382937937,8.095998687042083,1.3373523977703823,3.0,3.4641016151377544,0.0,0.0,6.1802542372881355,8.881784197001252e-16,0.365,0.0,21.977999999999994,0.5767729189204344,0.365,0.0,0.0,0.0,320.4127042073827,9.029779406956624,59.98219628602403,1.730368821419609,324.26144987757283,64.67856102926612,1.0126971729475507,2.719851086340251,1.8684324878251102,2.5639616767751576,0.0,0.9352590359451227,1.005125766915101
60,kmedoids_dirac_global_fixed_wc_p1.0_2,2,global_fixed_wc,0.01,5.690814354949558,0.0805859123247818,1.0569081435494956,0.0008058591232477974,30.016036454192356,0.4250480741708254,0.0,0.0,0.0,0.0,6.1245762711864415,0.0,3.65,0.0,21.779999999999998,0.5715767664977286,3.65,0.0,0.0,0.0,330.74138680031325,2.980993457341582,59.62267410417533,1.0082580297755006,324.26144987757283,64.67856102926612,1.0620061152853257,2.8135936135615935,3.7070022999936625,2.176959108467637,0.0,0.9237055540354534,1.0099571655111899
60,kmedoids_dirac_global_fixed_wc_p5.0_2,2,global_fixed_wc,0.05,8.284300566266579,0.07605701143310434,1.0828430056626657,0.000760570114331034,43.69530479908758,0.4011605168225892,0.0,0.0,0.0,0.0,5.877118644067797,0.0,18.25,0.0,20.899999999999995,0.548482755730144,18.25,0.0,0.0,0.0,294.093036175036,3.2815503360196345,50.62504105204935,1.0858107439178828,324.26144987757283,64.67856102926612,1.3741433603263509,3.27528899754792,2.1757649128920167,0.6405601579868004,0.0,0.5428571428571429,1.0903935891075691
60,kmedoids_dirac_global_fixed_wc_p20.0_2,2,global_fixed_wc,0.2,9.866678856906328,0.017262853649083063,1.0986667885690633,0.00017262853649072966,52.04151353015527,0.09105242450645042,0.0,0.0,0.0,0.0,4.9491525423728815,8.881784197001252e-16,73.0,0.0,17.6,0.4618802153517021,73.0,0.0,0.0,0.0,267.6026451587434,0.8173281511182402,47.117705126943754,0.14079013367368842,324.26144987757283,64.67856102926612,1.6290309685486362,3.0648783868592324,0.606239047172305,0.0,0.0,0.6359719994733645,1.1573107195048962
70,kmedoids_dirac_global_fixed_wc_p0.01_2,2,global_fixed_wc,0.0001,2.9866585919409796,4.739865574330254,1.0298665859194098,0.04739865574330251,15.753044745512852,25.000284492381642,17.333333333333332,9.237604307034012,0.0,0.0,5.289326086956523,6.280369834735101e-16,0.036500000000000005,0.0,18.553699999999996,0.5091241597095922,0.036500000000000005,0.0,0.0,0.0,328.3358305075648,15.462422780957667,62.59138024515594,2.5816354400066523,324.26144987757283,64.67856102926612,0.9740165887484561,2.327439484014675,1.00332191188716,3.103788429959692,0.11837545178173826,0.8881978607095443,1.0077003831207716
70,kmedoids_dirac_global_fixed_wc_p0.1_2,2,global_fixed_wc,0.001,1.8911203043950842,0.42649046687796893,1.0189112030439509,0.0042649046687797095,9.974659592719982,2.249511687205285,4.0,5.196152422706632,0.0,0.0,5.284565217391304,6.280369834735101e-16,0.365,0.0,18.536999999999995,0.5086659021400977,0.365,0.0,0.0,0.0,317.6579372140491,11.687007020667776,59.485519140888584,2.926372154868003,324.26144987757283,64.67856102926612,1.030841007836724,2.7289729182627176,1.705248618977863,2.49407617144838,0.0,0.9028405407652778,1.0053419719308276
70,kmedoids_dirac_global_fixed_wc_p1.0_2,2,global_fixed_wc,0.01,5.705383844969934,0.1246809838607869,1.0570538384496992,0.0012468098386078927,30.092882809791757,0.6576262593164689,0.0,0.0,0.0,0.0,5.236956521739131,0.0,3.65,0.0,18.37,0.5040833264451438,3.65,0.0,0.0,0.0,325.98903515061005,9.297314666438671,58.702399898865814,2.4357369575376198,324.26144987757283,64.67856102926612,1.0777549633146153,2.799559874690722,3.592431579532969,2.069301577874842,0.0,0.9246229991954822,1.010006564407761
70,kmedoids_dirac_global_fixed_wc_p5.0_2,2,global_fixed_wc,0.05,8.308358420416237,0.17804217113652154,1.0830835842041626,0.001780421711365218,43.82219725807946,0.9390783051233027,0.0,0.0,0.0,0.0,5.025362318840579,8.881784197001252e-16,18.25,0.0,17.627777777777776,0.483716323356451,18.25,0.0,0.0,0.0,292.67339339551825,11.179229331624196,50.27411517915488,2.866408081885027,324.26144987757283,64.67856102926612,1.375344929684359,3.28105816556648,2.1677571139266654,0.600842497426704,0.0,0.5428571428571429,1.0917887985056673
70,kmedoids_dirac_global_fixed_wc_p20.0_2,2,global_fixed_wc,0.2,9.873183604718854,0.04680410148507102,1.0987318360471885,0.00046804101485076703,52.075822635195095,0.2468668856083333,0.0,0.0,0.0,0.0,4.2318840579710155,8.881784197001252e-16,73.0,0.0,14.844444444444447,0.40734006177385296,73.0,0.0,0.0,0.0,267.4360821355903,1.5287886948185687,47.10710499910547,0.13994450807206718,324.26144987757283,64.67856102926612,1.6297463989147376,3.0594472698256143,0.6027537423571142,0.0,0.0,0.6366667023196904,1.1563325217451594
80,kmedoids_dirac_global_fixed_wc_p0.01_2,2,global_fixed_wc,0.0001,0.9206496734607527,0.6218501234206768,1.0092064967346077,0.006218501234206738,4.855940193533722,3.279930570464812,14.333333333333334,3.214550253664318,0.0,0.0,4.619791139240508,8.881784197001252e-16,0.036500000000000005,0.0,16.5539,1.071409599546316,0.036500000000000005,0.0,0.0,0.0,336.9190776133584,1.110048818577593,64.68659016029665,0.6092049819596154,324.26144987757283,64.67856102926612,0.9550703374390475,2.1924570418754854,1.1244671565573416,3.3868816948031255,0.13812222359813311,0.809132894181531,1.007621829258733
