k,seed,construction,method,worst_case,reduced_cost,cost_ratio,cost_diff,regret,lol_reduced,lol_full,relative_wc_weight,percentage,avg_weight_normal,avg_weight_wc,max_weight_normal,max_weight_wc,avg_local_wc_dist,inv_cost_reduced,fixed_inv_cost_reduced,inv_cost_ref,fixed_inv_cost_ref,inv_ccgt,inv_solar,inv_ocgt,inv_wind,inv_wind_offshore,inv_battery,inv_electrolizer,clustering_time
4,5,2,kmedoids_convex_local_wc_2,local_wc,533.162059521256,1.0449750440210082,22.946947139550787,4.497504402100811,306,397,0.0,0.0,174.20380355159034,8.296196448409669,190.20435635714512,10.403041344721755,3.26046667164689,248.48867658573246,41.819302463162494,313.55928348479506,63.20945039888374,1.0765023458768752,3.5426971804173704,0.0,0.44130603211222175,0.0,1.4035087719298245,1.1537758628417494,1.146054
6,4,2,kmedoids_convex_local_wc_2,local_wc,540.5325619103237,1.0594209163799468,30.31744952861851,5.942091637994689,496,397,0.0,0.0,116.68548248040354,4.981184186263122,149.2710719180497,7.002743425503489,3.0872768134648543,240.36994547089978,38.42010659850467,313.55928348479506,63.20945039888374,1.1006578077900988,3.6302332931064583,0.0,0.0,0.06177452878666805,1.2568098279911948,1.1419525180448151,0.8913617
6,5,2,kmedoids_convex_local_wc_2,local_wc,522.3925273813998,1.0238672173837617,12.177414999694577,2.3867217383761727,1828,397,0.0,0.0,117.54762410103302,4.119042565633623,155.9467095883268,5.171989651950193,3.118626995362977,336.15299477621704,66.30398345548106,313.55928348479506,63.20945039888374,0.6841967027624992,2.6549010773044435,0.0,4.0855645633570665,0.0,0.7728969037227496,1.1972986298867014,1.0084908
8,4,2,kmedoids_convex_local_wc_2,local_wc,522.1636573474124,1.0234186418154705,11.948544965707185,2.341864181547051,447,397,0.0,0.0,87.78751785523718,3.462482144762811,126.1554274468084,5.432088855997306,2.8961228003337793,275.450908351804,49.29093867400889,313.55928348479506,63.20945039888374,0.9560051518933916,3.2892065988971084,0.0,1.5703719876156987,0.0,1.0757966894140392,1.1116479015758103,3.4833799
8,5,2,kmedoids_convex_local_wc_2,local_wc,523.2943185448095,1.0256346898508162,13.079206163104288,2.563468985081609,431,397,0.0,0.0,87.50864549889307,3.7413545011069345,137.72543725384224,5.802037316601594,2.846687445789437,271.124919934196,48.057221353894164,313.55928348479506,63.20945039888374,0.971648750508897,3.330093024323693,0.0,1.3899948153307287,0.0,1.0821394240545439,1.1430880991141632,1.2359858
10,4,2,kmedoids_convex_local_wc_2,local_wc,526.0938567945452,1.0311216661903984,15.878744412840035,3.11216661903984,225,397,0.0,0.0,70.28353366953691,2.7164663304630854,123.571140088342,4.689652627215068,2.726984736618698,264.9162834953577,45.30934512158177,313.55928348479506,63.20945039888374,1.0318774152506234,3.3626504898701834,0.0,0.9390968620731099,0.0682233639947848,1.2980796854880268,1.119564286998157,0.906726
10,5,2,kmedoids_convex_local_wc_2,local_wc,514.1403403034797,1.007693280395893,3.9252279217744785,0.7693280395892926,648,397,0.0,0.0,69.86928863453001,3.1307113654699954,108.37266334906444,5.004646958431508,2.846724649566607,327.81766594667545,63.93675217424197,313.55928348479506,63.20945039888374,0.8068321696650651,2.756001515616236,0.0,3.5725275752257506,0.0,0.8421052631578947,1.117826305583369,0.9963497
12,4,2,kmedoids_convex_local_wc_2,local_wc,516.9560214561553,1.0132118961411851,6.740909074450144,1.3211896141185044,247,397,0.0,0.0,59.11326336536237,1.7200699679709623,110.76836315868972,2.7077154256461315,2.566591529251033,288.56862775912106,53.61856370244544,313.55928348479506,63.20945039888374,0.9554743732267851,3.0099286615262506,0.0,2.115092479978736,0.0,1.1295443064862123,1.0884292520697099,1.6860899
12,5,2,kmedoids_convex_local_wc_2,local_wc,514.9029793333576,1.0091880205777701,4.687866951652438,0.9188020577770193,836,397,0.0,0.0,58.2896370308668,2.543696302466539,103.61781304355435,4.218989791477303,2.659548879510876,322.7710061112783,62.50355019205018,313.55928348479506,63.20945039888374,0.7962480465134428,2.8030964005365266,0.0,3.430382904854424,0.0,0.7507864063980522,1.143867605292912,0.9683118
14,4,2,kmedoids_convex_local_wc_2,local_wc,511.5707158841214,1.0026569254212958,1.3556035024162156,0.26569254212957405,336,397,0.0,0.0,50.606365324021844,1.5364918188352972,88.73679904563194,2.4630823587328123,2.445873542660977,328.9887552764101,65.592982458546,313.55928348479506,63.20945039888374,0.8594937211236271,2.4269249854136796,0.0,3.7608564861654807,0.0,0.7467060690937988,1.1035819412066072,3.0005691
